ID,Lat,Lon,Country,B2,B3,B4,B8,ndvi,ndwi,evi,savi,gndvi,msavi2,pvi,vrpi
ID_SJ098E7S2SY9,34.16249093,70.76366828,0,0.1349777728319168,0.1832333356142044,0.2259666621685028,0.2714555561542511,0.09144926042735124,-0.19402765745368752,0.056335708380622386,0.0684096862142918,0.19402765745368752,0.06140915826903659,0.290921617780257,1.2013079874226196
ID_CWCD60FGJJYY,32.075695,48.492047,1,0.07508750259876251,0.10947500169277191,0.1256749927997589,0.2758750021457672,0.3740505820860097,-0.4318152297793062,0.20480394819712242,0.249902961879142,0.4318152297793062,0.226710181474707,0.16667027272687793,2.1951463533029654
ID_R1XF70RMVGL3,14.542826,33.313483,2,0.0709909126162529,0.11156363785266876,0.1390909105539322,0.2828909158706665,0.34077298194364075,-0.4343397139183852,0.18145059169251124,0.2339525593596305,0.4343397139183852,0.21252421319655146,0.1783051504854624,2.0338562365006316
ID_0ZBIDY0PEBVO,14.35948,33.284108,2,0.07259999960660934,0.1110166683793068,0.15316666662693024,0.20481666922569275,0.14428046622825522,-0.2969920830957306,0.06540803819336853,0.09029896113442902,0.2969920830957306,0.07754756268458896,0.18916851858500705,1.337214380492898
ID_C20R2C0AYIT0,14.419128,33.52845,2,0.12554782629013062,0.1805652230978012,0.23145216703414917,0.29347825050354004,0.1181605816640212,-0.23819129192504374,0.07127048731155035,0.09077604060927875,0.23819129192504374,0.08245394214033297,0.2935539225034515,1.2679866179876351
ID_MMU0PFMDQ7FW,14.204341,33.340792,2,0.08944166451692581,0.13601666688919067,0.17401666939258575,0.258733332157135,0.19576351810784626,-0.31087185703461645,0.10381811237867895,0.136236927296376,0.31087185703461645,0.12136142832298347,0.2208672336453136,1.4868307332869728
ID_FA7TDFAUVU2A,14.442394,33.292732,2,0.086895652115345,0.12700869143009186,0.17863477766513824,0.23965217173099518,0.14587448677025583,-0.30721435423942445,0.07352629610487472,0.09967046919154526,0.30721435423942445,0.0876931645728275,0.21918392160525293,1.3415762309186947
ID_I5DS1NLN2WM8,34.25143465,70.35956155,0,0.16961176693439484,0.2164352983236313,0.2365058809518814,0.3281705975532532,0.16233138813225467,-0.20516725961938753,0.1242812297257773,0.12914446564566848,0.20516725961938753,0.11927208193273864,0.32059206179390154,1.387579015931623
ID_5QV3RGD8E6L6,32.309077,48.324152,1,0.078125,0.12111250311136246,0.1388999968767166,0.4200249910354614,0.502974460327612,-0.552378076103144,0.3371839355071111,0.39822224997214806,0.552378076103144,0.3869246291782299,0.1842863194658021,3.0239380884094818
ID_JBRO8Z453K1J,34.26577617,70.34610331,0,0.16617058217525482,0.21379999816417694,0.24861764907836914,0.31662940979003906,0.1203221841575355,-0.19386069113788246,0.08707980176575203,0.09576899576317657,0.19386069113788246,0.0880279607723421,0.3279042156610024,1.2735596646649623
ID_OGEL0LA7Y94S,32.294165,48.17602,1,0.07876666635274887,0.10803333669900894,0.11885999888181686,0.25782665610313416,0.36891845087230163,-0.4094279843413581,0.20136642081672135,0.23777022799047184,0.4094279843413581,0.21342980980640602,0.16062036350508904,2.169162531790805
ID_O4CHBAKY74WZ,32.379146,48.215546,1,0.10440666973590851,0.15313999354839325,0.21148666739463806,0.409280002117157,0.3186275044020557,-0.4554247902684464,0.20873633902137195,0.2647205793628894,0.4554247902684464,0.25261916667382167,0.26111006895501404,1.9352520286937658
ID_GYHRWRLEY9W3,34.2926256,70.34585617,0,0.15960000455379486,0.2159823477268219,0.2617058753967285,0.30211764574050903,0.07167450244407964,-0.16625226616436628,0.04824269706153846,0.0569809318098832,0.16625226616436628,0.05207152921117475,0.33932040867999347,1.1544167485063872
ID_LLW4ZVLCTH7Y,34.30324556,70.3669421,0,0.19197647273540497,0.23770000040531158,0.2669823467731476,0.288382351398468,0.038533246163780344,-0.09633919636228389,0.029508031352383477,0.030416032480139663,0.09633919636228389,0.027628302611386824,0.35746449289570337,1.0801551296704415
ID_7VVCEG83E9SF,32.110459,48.207102,1,0.05470666661858559,0.09269333630800247,0.10354666411876678,0.28435999155044556,0.46612587020385504,-0.5083277114435066,0.24183574338718516,0.3054600271501519,0.5083277114435066,0.2807788744683438,0.13897469642360494,2.74620137664974
ID_67DBK0EXDU6W,14.399994,33.492967,2,0.14349129796028137,0.17323477566242218,0.21638260781764984,0.23374782502651215,0.038578189657472575,-0.14868706736271856,0.02385563484256552,0.02741499999670651,0.14868706736271856,0.024060967100135944,0.2771853539867801,1.0802523704839362
ID_OVT4MUGA4Z22,34.11910992,70.75303683,0,0.1898222267627716,0.25999999046325684,0.31095555424690247,0.35057777166366577,0.05989451455408579,-0.14834765826532062,0.0442053287264289,0.05116799044793055,0.14834765826532062,0.04793332309705389,0.40533116307272987,1.127420838366189
ID_Z8Q7G6Y40XAW,34.08759212,70.69004889,0,0.09952222555875778,0.1396888941526413,0.1597111076116562,0.3224666714668274,0.3375426469594312,-0.3954897244809604,0.2121538164364898,0.24856329575264058,0.3954897244809604,0.23006452936791522,0.2121806424821309,2.0190622699262577
ID_DXWZP0E8FG9E,14.258599,33.425234,2,0.0664166659116745,0.11283333599567413,0.1397833377122879,0.27691665291786194,0.3290936364030048,-0.420996335059778,0.16956293066563682,0.22439181292776123,0.420996335059778,0.2030413570826557,0.17964059456008327,1.9810419285296483
ID_MRFDJA9ISXG4,14.303156,33.36882,2,0.07395832985639572,0.1120833307504654,0.15593333542346954,0.2141166627407074,0.1572309893416731,-0.3127937891666546,0.07295581456148958,0.10031031683237604,0.3127937891666546,0.08674440214142853,0.19203613755855037,1.3731294989569027
ID_TMPFO6LITM9U,34.290535,70.42178679,0,0.19504117965698242,0.24655883014202118,0.2696823477745056,0.3207411766052246,0.08647831043717114,-0.13076387375446402,0.06918416673753677,0.07023715238502808,0.13076387375446402,0.06476603064215092,0.3654036472480419,1.1893295176791168
ID_IECISSYAN80G,14.439071,33.301266,2,0.08954782783985138,0.12876521050930023,0.16146956384181976,0.23867826163768768,0.19295043701248846,-0.2991291435554993,0.1005395592497072,0.1286600305145529,0.2991291435554993,0.11319590487265441,0.20652578406768465,1.478162546295745
ID_QIVKUVMV37NW,14.251952,33.206045,2,0.13101667165756226,0.17598333954811096,0.2362833321094513,0.31663334369659424,0.14532028984296444,-0.28551612020540523,0.09173903170591738,0.11446776383178488,0.28551612020540523,0.10516303872048782,0.2946183104140864,1.3400578909642393
ID_A14I5NDAO8F7,34.29785995,70.37267792,0,0.07594706118106842,0.11634117364883423,0.12931764125823975,0.3071646988391876,0.40745533379712584,-0.45058058833824205,0.23501931464700174,0.2848645136689585,0.45058058833824205,0.26327065043429776,0.17394919093397068,2.37527297784374
