ID,Lat,Lon,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,Country
ID_CWCD60FGJJYY,32.075695,48.492047,0.02074255235493183,0.05181489512324333,0.20970213413238525,0.14439573884010315,0.06359361857175827,0.09094893932342529,0.09818085283041,0.13377447426319122,0.2118787169456482,0.23611275851726532,0.2635638415813446,0.259491503238678,0.29309362173080444,2.5531915525789373e-05,0.0,0,0,0.0,0.0004914893652312458,0.00651914905756712,0.00927021261304617,0.010019148699939251,0.13004468381404877,Iran
ID_5QV3RGD8E6L6,32.309077,48.324152,0.02035319060087204,0.0768638327717781,0.2738659679889679,0.23103830218315125,0.08634468168020248,0.12184042483568192,0.13718298077583313,0.18705318868160248,0.2843574583530426,0.31555530428886414,0.3289766013622284,0.3272595703601837,0.32707658410072327,0.00017446809215471148,0.0,0,0,0.0,0.0004829787358175963,0.008823404088616371,0.01243829820305109,0.013965957798063755,0.14227233827114105,Iran
ID_OGEL0LA7Y94S,32.294165,48.17602,0.0203890111297369,0.046815384179353714,0.18455274403095245,0.13838131725788116,0.06459230929613113,0.08664615452289581,0.08935055136680603,0.11808022111654282,0.16926154494285583,0.186599999666214,0.204796701669693,0.19911429286003113,0.2084197849035263,0.00019340659491717815,0.0,0,0,0.0,0.00047802197514101863,0.006445054896175861,0.008683516643941402,0.00901428610086441,0.13406594097614288,Iran
ID_O4CHBAKY74WZ,32.379146,48.215546,0.020165957510471344,0.055139362812042236,0.25635212659835815,0.2008659541606903,0.07122021168470383,0.10204361379146576,0.12070106714963913,0.1505553126335144,0.23050318658351898,0.2702755331993103,0.2814808487892151,0.28648191690444946,0.2904585003852844,5.851063906447962e-05,0.0,0,0,0.0,0.00047872340655885637,0.007309574633836746,0.010403191670775414,0.012059574015438557,0.13495106995105743,Iran
ID_7VVCEG83E9SF,32.110459,48.207102,0.020482977852225304,0.04569893702864647,0.19026914238929749,0.1263478696346283,0.05154680833220482,0.07647978514432907,0.07959999889135361,0.1222095713019371,0.19328084588050842,0.21910426020622253,0.22656914591789246,0.23925957083702087,0.23792660236358643,0.0001787234068615362,0.0,0,0,0.0,0.0005489361938089132,0.005253191571682692,0.007824468426406384,0.008139361627399921,0.13707871735095978,Iran
ID_NBUO51LOXDEH,32.303507,48.25588,0.020095698535442352,0.05989139899611473,0.23642151057720184,0.18732473254203796,0.07706666737794876,0.10688279569149017,0.1259763389825821,0.1535172015428543,0.21670538187026978,0.24589677155017853,0.2592225670814514,0.25958603620529175,0.2649591267108917,0.00013440860493574291,0.0,0,0,0.001101075322367251,0.00046451613889075816,0.007449462544173002,0.010473118163645267,0.012441935949027538,0.13837850093841553,Iran
ID_S4FZH0QBZOPN,32.310065,48.291633,0.02032765932381153,0.06311701983213425,0.2281382977962494,0.16761276125907898,0.06938084959983826,0.09819149225950241,0.10903830081224442,0.15160851180553436,0.23095744848251343,0.25934892892837524,0.27130424976348877,0.28263190388679504,0.2824000120162964,3.404255403438583e-05,0.0,0,0,0.0,0.0005000000237487257,0.007202127482742071,0.009976595640182495,0.011036170646548271,0.13658936321735382,Iran
ID_RJD8BACKOCFA,32.085846,48.238992,0.020552128553390503,0.060420211404561996,0.22659574449062347,0.16562765836715698,0.06596595793962479,0.09348404407501221,0.0962095707654953,0.15005318820476532,0.22849999368190765,0.2579989433288574,0.2651233971118927,0.2833893597126007,0.32097128033638,0.00036489361082203686,0.0,0,0,0.002178723458200693,0.00047340424498543143,0.0061617023311555386,0.009064893238246441,0.0094510642811656,0.1344829797744751,Iran
ID_WCVQ3NFKNRJ2,32.455143,48.364486,0.019087912514805794,0.13411648571491241,0.26943737268447876,0.2619318664073944,0.15168242156505585,0.18788571655750275,0.22189120948314667,0.21413736045360565,0.21806593239307404,0.22375383973121643,0.2437538504600525,0.22731977701187134,0.2626703381538391,0.0005307692335918546,0.0,0,0,0.0,0.0005000000237487257,0.015552747063338757,0.019150549545884132,0.022210989147424698,0.12359120696783066,Iran
ID_XFF0KHBYXV6S,32.280331,48.393053,0.020385107025504112,0.07564255595207214,0.27130213379859924,0.23986169695854187,0.09191914647817612,0.12697872519493103,0.14886808395385742,0.18968510627746582,0.28072765469551086,0.3152042627334595,0.3217446804046631,0.3280255198478699,0.32175105810165405,4.680850906879641e-05,0.0,0,0,0.0,0.00046808511251583695,0.009365957230329514,0.012942553497850895,0.015165957622230053,0.14364680647850037,Iran
