ID,Country,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,Lat,Lon,ndvi,ndwi,evi,savi,gndvi,msavi2,pvi,vrpi
ID_CWCD60FGJJYY,Iran,0.0635936185717582,0.0909489393234252,0.09818085283041,0.1337744742631912,0.2118787169456482,0.2361127585172653,0.2635638415813446,0.259491503238678,0.2097021341323852,0.1443957388401031,32.075695,48.492047,0.45718151863946344,-0.4869074164755931,0.24043522734612133,0.28787468578004166,0.4869074164755931,0.2613051804628015,0.13383269192003389,2.684472929121978
ID_5QV3RGD8E6L6,Iran,0.0863446816802024,0.1218404248356819,0.1371829807758331,0.1870531886816024,0.2843574583530426,0.3155553042888641,0.3289766013622284,0.3272595703601837,0.2738659679889679,0.2310383021831512,32.309077,48.324152,0.4114333973501636,-0.4594683973528829,0.2549617484515131,0.29776699025532494,0.4594683973528829,0.27796392960841076,0.18347822578900758,2.398086114631085
ID_OGEL0LA7Y94S,Iran,0.0645923092961311,0.0866461545228958,0.089350551366806,0.1180802211165428,0.1692615449428558,0.186599999666214,0.204796701669693,0.1991142928600311,0.1845527440309524,0.1383813172578811,32.294165,48.17602,0.39247740412711574,-0.4053986729690912,0.18376448519988986,0.21805682106460883,0.4053986729690912,0.18919405419908097,0.12446315568535844,2.2920586223240207
ID_O4CHBAKY74WZ,Iran,0.0712202116847038,0.1020436137914657,0.1207010671496391,0.1505553126335144,0.2305031865835189,0.2702755331993103,0.2814808487892151,0.2864819169044494,0.2563521265983581,0.2008659541606903,32.379146,48.215546,0.39976879931125536,-0.4678638587753754,0.21851972135949466,0.2673182295040697,0.4678638587753754,0.24375159187160966,0.15805583420640787,2.332049379814093
ID_7VVCEG83E9SF,Iran,0.0515468083322048,0.076479785144329,0.0795999988913536,0.1222095713019371,0.1932808458805084,0.2191042602062225,0.2265691459178924,0.2392595708370208,0.1902691423892974,0.1263478696346283,32.110459,48.207102,0.4800259905945312,-0.49526444540649883,0.22309154208765006,0.27345839512621317,0.49526444540649883,0.24287044864160445,0.11038712497037967,2.846346093887987
ID_NBUO51LOXDEH,Iran,0.0770666673779487,0.1068827956914901,0.1259763389825821,0.1535172015428543,0.2167053818702697,0.2458967715501785,0.2592225670814514,0.2595860362052917,0.2364215105772018,0.1873247325420379,32.303507,48.25588,0.3459153855351789,-0.416109095578702,0.18544016042372705,0.22579031761009186,0.416109095578702,0.20251218441555363,0.1652088677955371,2.0577083694843075
ID_S4FZH0QBZOPN,Iran,0.0693808495998382,0.0981914922595024,0.1090383008122444,0.1516085118055343,0.2309574484825134,0.2593489289283752,0.2713042497634887,0.282631903886795,0.2281382977962494,0.1676127612590789,32.310065,48.291633,0.4266310690340028,-0.46851083196843635,0.23095434969703768,0.27648206174708534,0.46851083196843635,0.251325069602658,0.14673418209868283,2.4881555173044547
ID_RJD8BACKOCFA,Iran,0.0659659579396247,0.0934840440750122,0.0962095707654953,0.1500531882047653,0.2284999936819076,0.2579989433288574,0.2651233971118927,0.2833893597126007,0.2265957444906234,0.1656276583671569,32.085846,48.238992,0.46747416195832797,-0.4786274162878363,0.2506816516551066,0.2941612001035862,0.4786274162878363,0.2675430919196069,0.13414748601259613,2.7556863106490113
ID_WCVQ3NFKNRJ2,Iran,0.1516824215650558,0.1878857165575027,0.2218912094831466,0.2141373604536056,0.218065932393074,0.2237538397312164,0.2437538504600525,0.2273197770118713,0.2694373726844787,0.2619318664073944,32.455143,48.364486,0.04695130015890806,-0.12943237407213318,0.030417948322108125,0.03396067854092042,0.12943237407213318,0.03000003567491083,0.2907520444162343,1.0985286484662045
ID_XFF0KHBYXV6S,Iran,0.0919191464781761,0.126978725194931,0.1488680839538574,0.1896851062774658,0.2807276546955108,0.3152042627334595,0.3217446804046631,0.3280255198478699,0.2713021337985992,0.2398616969585418,32.280331,48.393053,0.367343619942925,-0.4340445646009517,0.22664024150776693,0.26716616986547687,0.4340445646009517,0.24771408289983454,0.19566630540852592,2.1612737388652756
